日付,荷主名,住所,車両,担当,備考,受注No,承認者
4/1,株式会社ABC物流,東京都品川区大崎1-2-3,4t,山田,,SO-1001,高橋
4/1,㈱ABC物流,東京都 品川区 大崎1-2-3,,,午前指定,SO-1002,高橋
4/1,ABC物流株式会社,東京都品川区大崎1丁目2番3号,4t,,,SO-1003,高橋
4/2,B倉庫センター,神奈川県横浜市鶴見区市場東中町1-1,,,午後は混雑,SO-1004,高橋
4/2,㈱B倉庫,神奈川県横浜市鶴見区市場東中町1-1,2t,鈴木,,SO-1005,高橋
4/2,C店舗,東京都江東区有明3-7-26,2t,鈴木,,SO-1006,高橋
4/2,三河物流センター,愛知県名古屋市港区船見町1-1,10t,佐藤,,SO-1007,高橋
4/3,株式会社ABC物流,東京都品川区大崎1-2-3,4t,山田,,SO-1008,高橋
4/3,B倉庫センター,神奈川県横浜市鶴見区市場東中町1-1,,,午前指定,SO-1009,高橋
4/3,D食品(株),埼玉県川口市前川1-1-1,2t,鈴木,冷蔵便,SO-1010,高橋
4/4,Eドラッグストア,東京都杉並区高円寺南5-20-1,4t,山田,早朝納品,SO-1011,高橋
4/4,B倉庫センター,神奈川県横浜市鶴見区市場東中町1-1,,,午前指定,SO-1012,高橋
4/4,㈱ABC物流,東京都品川区大崎1-2-3,4t,,,SO-1013,高橋
4/5,三河物流センター,愛知県名古屋市港区船見町1-1,10t,佐藤,,SO-1014,高橋
4/5,F石材,山梨県南都留郡富士河口湖町船津6836-1,4t,山田,山道ルート,SO-1015,高橋
